NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,CUSINE TYPE,RATING,VOTES,Latitude,Longitude
Trupthi Tiffins & Meals,200,['South Indian'],Hyderabad,Karkhana,https://www.zomato.com/hyderabad/trupthi-tiffins-meals-karkhana-secunderabad/info,Quick Bites,3.2,14.0,17.4598517325,78.5005974770
A Magic Masala,500,"['North Indian', 'Fast Food', 'Chinese']",Ahmedabad,Vastral,https://www.zomato.com/ahmedabad/a-magic-masala-vastral/info,Quick Bites,3.3,23.0,22.9928280075,72.6553934813
Celebrations The Cake Shop,200,['Desserts'],Mumbai,Goregaon East,https://www.zomato.com/mumbai/celebrations-the-cake-shop-goregaon-east/info,Dessert Parlor,3.5,33.0,19.1761607000,72.8777445853
The Container Cafe,500,"['Chinese', 'Kerala']",Kochi,Edappally,https://www.zomato.com/kochi/the-container-cafe-edappally/info,Casual Dining,2.9,16.0,10.0258765631,76.3066574559
Wild Wings Xpress,500,"['Continental', 'Italian']",Kolkata,Behala,https://www.zomato.com/kolkata/wild-wings-xpress-behala/info,Quick Bites,0.0,0.0,22.5079942959,88.3208882064
Fusion Kitchen,300,"['North Indian', 'Chinese']",Delhi NCR,Vikaspuri,https://www.zomato.com/ncr/fusion-kitchen-vikaspuri-new-delhi/info,Quick Bites,3.2,14.0,28.6280147513,77.0677838847
Thaaliwala,200,"['North Indian', 'Chinese']",Kolkata,New Town,https://www.zomato.com/kolkata/thaaliwala-new-town/info,Quick Bites,3.1,46.0,22.5728757383,88.4802432731
Snacks Junction,100,['Street Food'],Mumbai,Kandivali East,https://www.zomato.com/mumbai/snacks-junction-kandivali-east/info,Unknown,0.0,0.0,19.2068051155,72.8728512302
The Flaming Wok,300,"['North Indian', 'Chinese']",Chennai,Kolathur,https://www.zomato.com/chennai/the-flaming-wok-kolathur/info,Quick Bites,0.0,0.0,,
TMN Restaurant,300,['Fast Food'],Bhubaneswar,Baramunda,https://www.zomato.com/bhubaneswar/tmn-restaurant-baramunda-bhubaneshwar/info,Quick Bites,3.0,6.0,,
Marshall,900,"['North Indian', 'Chinese', 'Continental']",Ahmedabad,Kalupur,https://www.zomato.com/ahmedabad/marshall-kalupur/info,Casual Dining,3.4,25.0,23.0298063097,72.5992367417
Hot Curry,200,['North Indian'],Cuttack,CDA Sector 6,https://www.zomato.com/cuttack/hot-curry-1-cda-sector-6/info,Unknown,0.0,0.0,,
Ghar Ki Rasoi,300,['North Indian'],Delhi NCR,Sector 29-- Faridabad,https://www.zomato.com/ncr/ghar-ki-rasoi-sector-29-faridabad/info,Unknown,2.9,5.0,28.4336407575,77.3222430423
Patliputra Flavours,400,['North Indian'],Patna,Patliputra Colony,https://www.zomato.com/patna/patliputra-flavours-patliputra-colony/info,Unknown,0.0,0.0,25.6040662185,85.1346666366
Cafe Old School,350,['Cafe'],Ludhiana,Janak Puri,https://www.zomato.com/ludhiana/cafe-old-school-janak-puri/info,Café,3.3,44.0,30.9016398459,75.8667252213
Sri Balaji Bakers And Fast Foods,200,"['Bakery', 'Fast Food']",Hyderabad,Narapally,https://www.zomato.com/hyderabad/sri-balaji-bakers-and-fast-foods-narapally/info,Food Court,0.0,0.0,,
Nau Se Barah 9/12,1300,"['North Indian', 'Continental']",Mumbai,Kopar Khairane,https://www.zomato.com/mumbai/nau-se-barah-9-12-kopar-khairane-navi-mumbai/info,Casual Dining,4.1,974.0,19.1011355980,73.0105169490
MiCasa,700,"['North Indian', 'Chinese', 'Continental']",Nagpur,Gokulpeth,https://www.zomato.com/nagpur/micasa-gokulpeth/info,Casual Dining,4.2,396.0,21.1435358856,79.0566348284
Turning 11 Punjabi Dhaba,350,['North Indian'],Chandigarh,Sector 11-- Chandigarh,https://www.zomato.com/chandigarh/turning-11-punjabi-dhaba-sector-11/info,Dhaba,3.3,14.0,30.7589401237,76.7826861888
Hotel Gulmohar,600,"['North Indian', 'Chinese']",Nagpur,Manish Nagar,https://www.zomato.com/nagpur/hotel-gulmohar-manish-nagar/info,Casual Dining,3.5,23.0,,
Henry's Cafe,500,"['North Indian', 'Fast Food']",Delhi NCR,Khanpur,https://www.zomato.com/ncr/henrys-cafe-khanpur-new-delhi/info,Quick Bites,2.7,23.0,28.5081517236,77.2322224081
Chitwan Fine Dine Garden Restaurant,400,['North Indian'],Bhopal,Hoshangabad Road,https://www.zomato.com/bhopal/chitwan-fine-dine-garden-restaurant-hoshangabad-road/info,Quick Bites,3.0,11.0,23.1681500000,77.4427250000
