NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,URL,CUSINE TYPE,RATING,VOTES
Red Caffino,200,"['Pizza', 'Burger', 'Beverages', 'Desserts']",Agra,Tajganj,https://www.zomato.com/agra/red-caffino-3-tajganj/info,Quick Bites,3.5,29.0
Jackson Egg Corner,100,['Fast Food'],Agra,Civil Lines,https://www.zomato.com/agra/jackson-egg-corner-civil-lines/info,Quick Bites,3.1,32.0
Sagar Ratna,600,"['South Indian', 'North Indian', 'Chinese']",Agra,Khandari,https://www.zomato.com/agra/sagar-ratna-khandari/info,Casual Dining,3.5,86.0
Ajanta Sweets,200,['Mithai'],Agra,Kamla Nagar,https://www.zomato.com/agra/ajanta-sweets-kamla-nagar/info,Sweet Shop,3.7,38.0
The Rasoi,200,['Fast Food'],Agra,Sikandra,https://www.zomato.com/agra/the-rasoi-sikandra/info,Quick Bites,0.0,0.0
Guru Kripa Bhojnalaya,300,['North Indian'],Agra,Kamla Nagar,https://www.zomato.com/agra/guru-kripa-bhojnalaya-kamla-nagar/info,Quick Bites,4.0,79.0
Manohar Lal Daulat Ram Garg Gajak Wale,150,['Mithai'],Agra,Sikandra,https://www.zomato.com/agra/manohar-lal-daulat-ram-garg-gajak-wale-sikandra/info,Sweet Shop,3.5,57.0
The Delicious Restaurant,500,['Fast Food'],Agra,Shahganj,https://www.zomato.com/agra/the-delicious-restaurant-shahganj/info,Quick Bites,3.2,34.0
Jab We Meet,500,"['North Indian', 'Mughlai']",Agra,Civil Lines,https://www.zomato.com/agra/jab-we-meet-1-civil-lines/info,Quick Bites,3.6,44.0
Chai Ka Adda,100,['Tea'],Agra,Sikandra,https://www.zomato.com/agra/chai-ka-adda-sikandra/info,Beverage Shop,3.7,29.0
Kushwah Lassi Corner,100,['Beverages'],Agra,Shahganj,https://www.zomato.com/agra/kushwah-lassi-corner-shahganj/info,Beverage Shop,3.4,15.0
Agra Bana,800,"['North Indian', 'Chinese', 'Continental', 'South Indian']",Agra,Kuberpur,https://www.zomato.com/agra/agra-bana-kuberpur/info,Casual Dining,3.5,44.0
24*7 Hunger Solutions,200,"['North Indian', 'Chinese', 'Continental']",Agra,Agra Cantt,https://www.zomato.com/agra/24-7-hunger-solutions-agra-cantt/info,Unknown,3.5,38.0
Neelam Restaurant,400,['North Indian'],Agra,Dayal Bagh,https://www.zomato.com/agra/neelam-restaurant-dayal-bagh/info,Casual Dining,3.4,36.0
Ripples - Mansingh Palace,1500,"['North Indian', 'Continental']",Agra,Mansingh Palace-- Tajganj,https://www.zomato.com/agra/ripples-mansingh-palace-tajganj/info,Fine Dining,0.0,0.0
Sheesh Mahal - Mansingh Palace,1800,"['North Indian', 'Chinese', 'Continental']",Agra,Mansingh Palace-- Tajganj,https://www.zomato.com/agra/sheesh-mahal-mansingh-palace-tajganj/info,Fine Dining,3.6,19.0
Anil Gajak Palace,300,['Mithai'],Agra,Civil Lines,https://www.zomato.com/agra/anil-gajak-palace-civil-lines/info,Sweet Shop,3.8,47.0
Kesar Restaurant,1200,"['North Indian', 'Chinese', 'Continental']",Agra,Tajganj,https://www.zomato.com/agra/kesar-restaurant-tajganj/info,Casual Dining,3.3,24.0
FNP Cakes ‘n’ More,200,"['Bakery', 'Desserts']",Agra,Rakabganj,https://www.zomato.com/agra/fnp-cakes-n-more-rakabganj/info,Bakery,3.5,13.0
Healthy & Tasty Food,300,['Fast Food'],Agra,Shahganj,https://www.zomato.com/agra/healthy-tasty-food-shahganj/info,Quick Bites,3.5,14.0
Kings Pizza And Burger,200,"['Pizza', 'Burger']",Agra,Rakabganj,https://www.zomato.com/agra/kings-pizza-and-burger-rakabganj/info,Quick Bites,3.5,15.0
Bob Marley Restaurant,600,['North Indian'],Agra,Tajganj,https://www.zomato.com/agra/bob-marley-restaurant-tajganj/info,Casual Dining,3.2,24.0
Crazy Burger,100,['Burger'],Agra,Sikandra,https://www.zomato.com/agra/crazy-burger-sikandra/info,Quick Bites,3.6,18.0
Shri Dauji Sweets,200,"['Mithai', 'Street Food']",Agra,Shahganj,https://www.zomato.com/agra/shri-dauji-sweets-shahganj/info,Sweet Shop,3.0,33.0
Om Restaurant,250,['North Indian'],Agra,Civil Lines,https://www.zomato.com/agra/om-restaurant-civil-lines/info,Quick Bites,3.7,97.0
Bhaagya Shree Studio & Bakers,250,['Bakery'],Agra,Kamla Nagar,https://www.zomato.com/agra/bhaagya-shree-studio-bakers-kamla-nagar/info,Bakery,3.6,19.0
Brijwasi Bhojnalaya,200,['North Indian'],Agra,Rakabganj,https://www.zomato.com/agra/brijwasi-bhojnalaya-rakabganj/info,Bhojanalya,3.4,23.0
Food & Fight,200,['Fast Food'],Agra,Sikandra,https://www.zomato.com/agra/food-fight-sikandra/info,Quick Bites,3.5,20.0
Jenith Fast Food,300,"['North Indian', 'South Indian', 'Continental']",Agra,Mantola,https://www.zomato.com/agra/jenith-fast-food-mantola/info,Quick Bites,3.4,15.0
Chef Signature,900,"['Fast Food', 'Continental', 'Indian']",Agra,Tajganj,https://www.zomato.com/agra/chef-signature-tajganj/info,Quick Bites,3.0,20.0
Food Treasure,200,"['Bakery', 'Fast Food']",Agra,Sikandra,https://www.zomato.com/agra/food-treasure-sikandra/info,Bakery,3.5,15.0
Iccha Veg Biryani,100,['Biryani'],Agra,Sikandra,https://www.zomato.com/agra/iccha-veg-biryani-sikandra/info,Kiosk,3.5,22.0
The Park Restaurant,1000,"['North Indian', 'Chinese', 'Continental', 'Mughlai']",Agra,Agra Cantt,https://www.zomato.com/agra/the-park-restaurant-agra-cantt/info,Casual Dining,3.6,77.0
Agarsen Sweet,600,"['Mithai', 'Fast Food']",Agra,Sikandra,https://www.zomato.com/agra/agarsen-sweet-sikandra/info,Sweet Shop,3.4,14.0
Chhabra Bakers and Confectioners,200,"['Bakery', 'Fast Food']",Agra,Shahganj,https://www.zomato.com/agra/chhabra-bakers-and-confectioners-shahganj/info,Confectionery,3.2,21.0
Laxman Momo's Corner,100,['Momos'],Agra,Tajganj,https://www.zomato.com/agra/laxman-momos-corner-tajganj/info,Quick Bites,3.5,23.0
Pracheen Petha,200,['Desserts'],Agra,Civil Lines,https://www.zomato.com/agra/pracheen-petha-3-civil-lines/info,Sweet Shop,0.0,0.0
Bansal Sweets,100,"['Mithai', 'Street Food']",Agra,Shahganj,https://www.zomato.com/agra/bansal-sweets-shahganj/info,Sweet Shop,2.7,30.0
AFC Kitchen,300,['Fast Food'],Agra,Tajganj,https://www.zomato.com/agra/afc-kitchen-tajganj/info,Quick Bites,3.3,23.0
The Crispy Treat,150,['Fast Food'],Agra,Sikandra,https://www.zomato.com/agra/the-crispy-treat-1-sikandra/info,Quick Bites,3.3,8.0
Pranjal Food Court,300,['Fast Food'],Agra,Sikandra,https://www.zomato.com/agra/pranjal-food-court-sikandra/info,Quick Bites,3.0,21.0
Goli Vada Paav No.1,100,['Street Food'],Agra,Shahganj,https://www.zomato.com/agra/goli-vada-paav-no-1-shahganj/info,Quick Bites,3.2,20.0
Giani,300,"['Beverages', 'Desserts', 'Ice Cream']",Agra,Civil Lines,https://www.zomato.com/agra/giani-civil-lines/info,Dessert Parlor,2.5,18.0
Laxman Momo's Corner,100,['Street Food'],Agra,Agra Cantt,https://www.zomato.com/agra/laxman-momos-corner-agra-cantt/info,Quick Bites,3.8,20.0
Shagun Cafe,100,"['Bakery', 'Cafe']",Agra,Khandari,https://www.zomato.com/agra/shagun-cafe-khandari/info,Quick Bites,3.4,12.0
Cake & More,500,['Bakery'],Agra,Kamla Nagar,https://www.zomato.com/agra/cake-more-kamla-nagar/info,Quick Bites,3.0,16.0
Panchhi Petha Store,400,['Mithai'],Agra,Mantola,https://www.zomato.com/agra/panchhi-petha-store-mantola/info,Sweet Shop,3.4,12.0
Mor Mukut Misthan Bhandar,400,"['Mithai', 'Desserts', 'Street Food']",Agra,Kamla Nagar,https://www.zomato.com/agra/mor-mukut-misthan-bhandar-kamla-nagar/info,Sweet Shop,3.3,14.0
Garg Dairy,200,"['Bakery', 'Fast Food']",Agra,Kamla Nagar,https://www.zomato.com/agra/garg-dairy-1-kamla-nagar/info,Bakery,3.3,12.0
Fauzi Dhaba,650,"['North Indian', 'Chinese', 'Continental']",Agra,Tajganj,https://www.zomato.com/agra/fauzi-dhaba-tajganj/info,Casual Dining,3.0,17.0
Hungernomia,300,"['Wraps', 'Sandwich', 'Burger', 'Fast Food']",Agra,Civil Lines,https://www.zomato.com/agra/hungernomia-civil-lines/info,Quick Bites,3.3,16.0
Jugalbandi,250,"['North Indian', 'Chinese']",Agra,Sikandra,https://www.zomato.com/agra/jugalbandi-sikandra/info,Quick Bites,3.4,22.0
Maya Restaurant,900,"['North Indian', 'Chinese', 'Continental']",Agra,Tajganj,https://www.zomato.com/agra/maya-restaurant-tajganj/info,Casual Dining,2.7,17.0
Little N Chef,200,"['Chinese', 'Fast Food']",Agra,Shahganj,https://www.zomato.com/agra/little-n-chef-shahganj/info,Quick Bites,3.5,33.0
Little Maggi Point,150,['Fast Food'],Agra,Kamla Nagar,https://www.zomato.com/agra/little-maggi-point-3-kamla-nagar/info,Quick Bites,3.2,11.0
Cafe Coffee Day,500,"['Cafe', 'Fast Food']",Agra,Civil Lines,https://www.zomato.com/agra/cafe-coffee-day-civil-lines/info,Café,3.9,96.0
Swad Restaurant,500,['North Indian'],Agra,Agra Cantt,https://www.zomato.com/agra/swad-restaurant-agra-cantt/info,Casual Dining,0.0,0.0
Yes Restaurant,300,"['North Indian', 'South Indian']",Agra,Tajganj,https://www.zomato.com/agra/yes-restaurant-1-tajganj/info,Unknown,3.4,13.0
Hunger Target,200,['Chinese'],Agra,Agra Cantt,https://www.zomato.com/agra/hunger-target-1-agra-cantt/info,Quick Bites,0.0,0.0
Hiralal Misthan Bhandar,250,['Mithai'],Agra,Civil Lines,https://www.zomato.com/agra/hiralal-misthan-bhandar-civil-lines/info,Sweet Shop,3.2,4.0
Biryaniwala,200,['Biryani'],Agra,Mantola,https://www.zomato.com/agra/biryaniwala-1-mantola/info,Unknown,3.4,15.0
Chinu Bakers,150,['Fast Food'],Agra,Kamla Nagar,https://www.zomato.com/agra/chinu-bakers-kamla-nagar/info,Unknown,3.5,10.0
